G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,Bayesian Information Criterion,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
4.264604334953918,149.99999999999994,-13.06396971389912,757.9999999978047,185.2965503945041,6078.016614515473,-692.6667960835712,-0.016628816050033246,-0.0037875783511404798,176.84169467063825,HN007-6m-2Eluat.sortByCoord,mammary_cluster2139_hg38,,no,3.9,"(-282.6584995059414, 122.80710706872624)",Significantly weaker coverage drop,-1.72,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-2.7025084798459917,149.00041076508384,-31.930356317665005,757.0000000079352,26.933805942832198,6078.000058946491,-823.8453159101241,0.022295432240440168,9.667561388699276e-05,-8.448705023209136,HN007-6m-2Eluat.sortByCoord,mammary_cluster2239_hg38,,no,-1.86,"(-25.031036956485266, 118.95856122353376)",n.s.,-0.67,"(0.003589316357633595, 0.05539997409431477)",n.s.
-9.921392743427342,149.00000000011784,16.45003150713924,757.9999999970894,-5.717030860795408,6078.999370143609,-810.5304908143588,0.018281569137511982,-0.0021867988026351387,-0.5912450982295232,HN007-6m-2Eluat.sortByCoord,mammary_cluster2290_hg38,,no,-0.87,"(-45.70208459455415, 80.17115354374201)",n.s.,-2.8,"(0.016165086370466437, 0.06285893150311722)",n.s.
0.3241012231718582,149.00000000000026,-13.24398343838127,757.0000000037172,-165.64045419047287,6078.993827116346,,0.016982249077268717,0.003870861340765472,-178.4501924626205,OMD007-3m.sortByCoord,mammary_cluster2139_hg38,-691.3040298132283,no,-1.5,"(-282.6584995059414, 122.80710706872624)",n.s.,0.37,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-12.326902831728079,149.00000000000782,2.1220950027084506,757.0000000047252,100.06496130838259,6078.985271098499,,0.02531958936556562,-0.002752125964479972,87.83115522406477,OMD007-3m.sortByCoord,mammary_cluster2239_hg38,-852.2410407287514,no,1.37,"(-25.031036956485266, 118.95856122353376)",n.s.,-0.39,"(0.003589316357633595, 0.05539997409431477)",n.s.
-17.716690858822773,149.00000006787818,16.040007631043387,757.9999999939782,-24.894899993217344,6078.000000435854,,0.0406278484909811,-0.0012714278232968882,-29.183134706767284,OMD007-3m.sortByCoord,mammary_hepato_cluster959_hg38,-700.864268669262,no,0.13,"(-213.50816338196972, 140.60735125881695)",n.s.,-0.23,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-7.154656039634478,149.0000000839531,-26.002167951027733,757.9999999901119,48.7851680024628,6078.999998549372,,0.02963992928002871,-0.0011234127854988355,14.209514155273785,OMD007-3m.sortByCoord,mammary_cluster2290_hg38,-825.6656332937226,no,-0.15,"(-45.70208459455415, 80.17115354374201)",n.s.,-1.3,"(0.016165086370466437, 0.06285893150311722)",n.s.
-24.387452654673826,149.99999999986989,-0.967882405535614,757.0000000001321,-5.8419042396755385,6078.040499113572,,0.06575476437214656,0.0006017091535983003,-35.01854518971888,OMD007-3m.sortByCoord,mammary_epithel_cluster2438_hg38,-712.1862688874312,no,-0.53,"(-172.21678150366068, 158.56946515003577)",n.s.,2.23,"(0.0045725096327799, 0.07562286046136754)",n.s.
17.29732678346491,149.99999999997232,-24.763451623438865,757.999999985768,28.91010680521945,6078.999999570314,,-0.03486826897846429,-0.0012216600456608439,23.892899351763663,PV08-BL.sortByCoord,mammary_cluster2139_hg38,-725.8196664687594,no,1.58,"(-282.6584995059414, 122.80710706872624)",n.s.,-2.86,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-8.37376492436025,149.99999998765503,10.791339569829015,757.0000000000392,50.23977940861568,6078.969746499489,,0.013286843167969329,-0.0017277430523524886,51.39072243781386,PV08-BL.sortByCoord,mammary_cluster2239_hg38,-903.8237708353116,no,0.15,"(-25.031036956485266, 118.95856122353376)",n.s.,-1.52,"(0.003589316357633595, 0.05539997409431477)",n.s.
-2.358634492010665,149.99999999999991,3.896294098045942,757.9999999977617,-87.31172831906711,6078.053185779243,,0.009953243993274187,0.00025987706377593353,-86.01187409979845,PV08-BL.sortByCoord,mammary_hepato_cluster959_hg38,-765.6610982295749,no,-0.86,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.41,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-4.614819328777815,149.00000000000122,-16.30315780016959,757.9999999495842,9.767922929620005,6078.999987672213,,0.020295485377870518,-0.0009901936452064428,-12.037084824561903,PV08-BL.sortByCoord,mammary_cluster2290_hg38,-862.1425217467868,no,-1.43,"(-45.70208459455415, 80.17115354374201)",n.s.,-2.54,"(0.016165086370466437, 0.06285893150311722)",n.s.
